A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,education,age
2.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,2,5.0,5.0,1.0,2,5.0,24
1.0,6.0,6.0,6.0,6.0,5.0,2.0,1.0,2.0,1.0,6.0,5.0,6.0,6.0,5.0,2.0,1.0,4.0,6.0,5.0,6.0,5,6.0,6.0,1.0,1,3.0,25
5.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,3.0,5,4.0,4.0,2.0,1,2.0,22
2.0,6.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,6.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,4,5.0,3.0,2.0,2,1.0,18
1.0,5.0,3.0,2.0,3.0,3.0,6.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3,2.0,5.0,1.0,2,1.0,43
1.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,6.0,6.0,6.0,4.0,4.0,1.0,1.0,1.0,6.0,3,6.0,6.0,1.0,1,3.0,20
1.0,6.0,6.0,6.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,6.0,6.0,6.0,3.0,3.0,3.0,1,4.0,6.0,2.0,2,3.0,24
1.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,2.0,4.0,4.0,4.0,3.0,6.0,1.0,1.0,1.0,6.0,5.0,5.0,6,3.0,6.0,3.0,2,4.0,26
3.0,6.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,1.0,1.0,4.0,6.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,1,5.0,5.0,6.0,1,4.0,26
4.0,3.0,5.0,6.0,3.0,5.0,6.0,2.0,5.0,2.0,3.0,5.0,2.0,6.0,2.0,6.0,5.0,5.0,5.0,6.0,2.0,5,2.0,6.0,4.0,2,3.0,25
1.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,1.0,2.0,5.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,5.0,3,5.0,5.0,2.0,1,4.0,25
1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,1,6.0,6.0,1.0,1,5.0,26
1.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4,6.0,6.0,3.0,2,3.0,21
3.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,2,5.0,5.0,5.0,1,5.0,24
1.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,1.0,4.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4,4.0,2.0,1.0,2,2.0,50
3.0,3.0,5.0,4.0,5.0,6.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,6.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,3,5.0,5.0,2.0,1,5.0,29
2.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,6.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,6.0,5.0,2.0,2.0,4,3.0,5.0,5.0,1,1.0,32
2.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,6,4.0,6.0,2.0,1,1.0,18
1.0,4.0,6.0,6.0,6.0,,6.0,6.0,2.0,3.0,1.0,1.0,5.0,6.0,6.0,4.0,4.0,3.0,1.0,3.0,5.0,3,3.0,6.0,3.0,2,4.0,32
4.0,5.0,3.0,5.0,4.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,6.0,6.0,3.0,5.0,3.0,1.0,3.0,4.0,1,4.0,6.0,1.0,2,3.0,26
2.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,1.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,3.0,6.0,6.0,4.0,4.0,1,6.0,6.0,3.0,2,5.0,27
2.0,,4.0,6.0,4.0,5.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,,1.0,2.0,1,4.0,6.0,1.0,2,3.0,19
1.0,5.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,6.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,2.0,5.0,4,4.0,6.0,1.0,1,4.0,21
4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,6.0,1,6.0,6.0,1.0,1,3.0,21
2.0,3.0,4.0,5.0,6.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,2,5.0,5.0,2.0,2,5.0,36
1.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,6.0,2,3.0,5.0,2.0,2,2.0,48
4.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,3.0,4.0,1,4.0,6.0,2.0,2,3.0,22
2.0,4.0,6.0,2.0,5.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,,1.0,3.0,2.0,2.0,1.0,6.0,2,4.0,5.0,3.0,2,2.0,23
4.0,4.0,4.0,5.0,3.0,5.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,1,4.0,2.0,3.0,1,3.0,21
1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,1,5.0,4.0,2.0,2,3.0,20
3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,5.0,1,5.0,4.0,2.0,2,3.0,23
2.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0,2.0,1.0,1.0,4.0,6.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,1,4.0,3.0,4.0,2,4.0,43
2.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,6.0,6.0,5.0,2.0,4.0,2.0,1.0,1.0,6.0,3,5.0,4.0,1.0,2,,16
5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,3.0,4.0,1.0,2.0,5.0,6.0,6.0,4.0,3.0,4.0,4.0,6.0,5.0,4,5.0,6.0,3.0,2,,14
1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3,4.0,2.0,4.0,2,3.0,54
2.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,4,3.0,5.0,1.0,1,2.0,20
1.0,5.0,6.0,5.0,3.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,6.0,2,5.0,6.0,2.0,1,4.0,28
1.0,6.0,3.0,3.0,1.0,6.0,6.0,5.0,1.0,6.0,4.0,5.0,3.0,5.0,1.0,4.0,4.0,6.0,6.0,5.0,6.0,1,6.0,6.0,1.0,2,4.0,38
1.0,4.0,6.0,2.0,6.0,3.0,3.0,4.0,4.0,5.0,6.0,4.0,5.0,6.0,2.0,3.0,5.0,4.0,6.0,4.0,6.0,2,5.0,6.0,1.0,1,,38
1.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,1.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,5,4.0,5.0,2.0,1,3.0,27
1.0,6.0,5.0,2.0,6.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,5.0,6.0,6.0,6.0,5,4.0,6.0,1.0,2,1.0,18
4.0,4.0,4.0,6.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,4,3.0,4.0,4.0,1,3.0,29
1.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,5,5.0,4.0,4.0,2,4.0,50
1.0,6.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0,2.0,5.0,1,4.0,5.0,2.0,2,3.0,50
1.0,6.0,4.0,6.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,2,3.0,4.0,2.0,2,3.0,20
3.0,4.0,5.0,5.0,4.0,3.0,3.0,,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2,4.0,4.0,3.0,2,3.0,19
1.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,6.0,1,5.0,5.0,2.0,2,4.0,56
1.0,5.0,6.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,1,5.0,6.0,2.0,2,4.0,29
2.0,4.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,1.0,5.0,2.0,6.0,2.0,2.0,3.0,6.0,4.0,6.0,3.0,2,2.0,2.0,5.0,2,5.0,29
1.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,3.0,5.0,6.0,6.0,2.0,5.0,4.0,6.0,1.0,6.0,2,5.0,6.0,1.0,2,5.0,48
2.0,6.0,4.0,6.0,4.0,4.0,5.0,6.0,3.0,1.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,6.0,3.0,4,3.0,5.0,6.0,2,1.0,30
2.0,3.0,3.0,4.0,3.0,5.0,6.0,4.0,1.0,4.0,5.0,6.0,2.0,2.0,4.0,3.0,4.0,6.0,6.0,6.0,5.0,2,3.0,5.0,4.0,2,2.0,21
3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,5.0,1,3.0,6.0,1.0,1,3.0,19
1.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,1,5.0,6.0,1.0,1,5.0,42
4.0,3.0,2.0,6.0,5.0,4.0,5.0,6.0,2.0,6.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,1,2.0,6.0,4.0,2,3.0,18
2.0,6.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1,5.0,3.0,3.0,2,4.0,50
2.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,,5.0,6.0,4.0,4.0,6.0,2,5.0,6.0,1.0,2,3.0,24
3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,2,5.0,4.0,2.0,1,5.0,25
2.0,5.0,5.0,5.0,2.0,6.0,6.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,2,5.0,6.0,1.0,1,5.0,47
1.0,4.0,5.0,2.0,6.0,2.0,1.0,2.0,4.0,6.0,6.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,3,4.0,5.0,6.0,2,1.0,18
1.0,6.0,4.0,1.0,1.0,6.0,4.0,5.0,2.0,1.0,6.0,6.0,3.0,1.0,1.0,4.0,3.0,6.0,6.0,5.0,2.0,3,3.0,6.0,3.0,2,4.0,37
1.0,6.0,5.0,6.0,6.0,5.0,3.0,4.0,6.0,5.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4,4.0,6.0,2.0,2,4.0,33
1.0,5.0,5.0,5.0,2.0,6.0,,6.0,1.0,1.0,3.0,2.0,1.0,2.0,6.0,5.0,,5.0,4.0,3.0,4.0,1,6.0,6.0,1.0,2,5.0,40
6.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,3.0,4.0,1.0,4.0,5.0,2.0,6.0,6.0,6.0,3.0,2.0,5.0,6.0,1,6.0,5.0,2.0,1,,18
2.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,1.0,3.0,4.0,6.0,4.0,5.0,6.0,2.0,4.0,6.0,6.0,5,6.0,6.0,2.0,2,3.0,21
3.0,6.0,5.0,6.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,4,4.0,6.0,4.0,2,3.0,27
1.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,1,5.0,6.0,1.0,2,3.0,19
,4.0,5.0,6.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,6,1.0,3.0,3.0,2,4.0,36
1.0,6.0,6.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,2,4.0,6.0,2.0,2,3.0,19
1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,6.0,5.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,6.0,6.0,1,6.0,6.0,2.0,2,5.0,29
1.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,6.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,6.0,1,5.0,4.0,1.0,2,5.0,23
4.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,6.0,6.0,5.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,6,3.0,5.0,5.0,1,5.0,23
1.0,5.0,4.0,3.0,4.0,5.0,6.0,4.0,1.0,4.0,3.0,2.0,4.0,5.0,6.0,1.0,2.0,2.0,4.0,1.0,4.0,1,6.0,5.0,1.0,1,3.0,20
5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,5.0,1,5.0,5.0,2.0,1,4.0,24
2.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,1.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,6.0,1,5.0,5.0,2.0,1,5.0,24
1.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,6.0,1.0,2.0,5.0,6.0,6.0,1.0,2.0,2.0,2.0,4.0,6.0,1,6.0,6.0,1.0,1,5.0,26
4.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,2.0,1.0,3.0,6.0,6.0,6.0,4.0,3.0,1.0,3.0,4.0,6.0,3,6.0,5.0,3.0,2,3.0,25
2.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,6.0,2.0,4,4.0,6.0,4.0,1,4.0,24
6.0,5.0,5.0,2.0,5.0,5.0,5.0,6.0,1.0,1.0,1.0,2.0,5.0,5.0,6.0,5.0,4.0,4.0,3.0,1.0,6.0,2,6.0,5.0,1.0,1,5.0,24
2.0,5.0,5.0,1.0,6.0,5.0,5.0,5.0,3.0,6.0,2.0,4.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,3,6.0,4.0,2.0,1,5.0,28
2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,5.0,2,5.0,6.0,1.0,1,4.0,22
2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,6.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,1,6.0,6.0,1.0,1,5.0,26
2.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,3,5.0,4.0,2.0,1,5.0,25
2.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,5.0,2,6.0,6.0,2.0,1,4.0,23
2.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2,4.0,6.0,2.0,1,3.0,22
4.0,5.0,4.0,,3.0,5.0,3.0,4.0,2.0,5.0,1.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4,3.0,6.0,3.0,2,3.0,19
2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,2,4.0,6.0,3.0,2,4.0,25
